;Movie name;Rating;IMDb name;genre;IMDb rating count;IMDb rating;metascore;year;Action;Adventure;Animation;Biography;Comedy;Crime;Drama;Family;Fantasy;History;Horror;Music;Musical;Mystery;PG;R;Romance;Sport;Thriller;War;Western
72;Wonder woman ;7.8;Wonder Woman ;Action,Adventure,Fantasy,War;448346;7.5;76.0;2017.0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
73;Inferno ;7.8;Inferno ;Action,Adventure,Crime,Drama,Mystery,Thriller;131426;6.2;42.0;2016.0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0
74;Star Wars: The Last Jedi;7.8;Star Wars: Episode VIII - The Last Jedi ;Action,Adventure,Fantasy;428002;7.2;85.0;2017.0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
75;The imitation game ;7.7;The Imitation Game ;Biography,Drama,Thriller,War;593799;8.0;73.0;2014.0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0
76;About time ;7.7;About Time ;Comedy,Drama,Fantasy,Romance;249910;7.8;55.0;2013.0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
77;Atomic blonde ;7.7;Atomic Blonde ;Action,Mystery,Thriller;138953;6.7;63.0;2017.0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
78;Lilo and Stitch;7.7;"Lilo &amp; Stitch ";Animation,Adventure,Comedy,Drama,Family,Fantasy;143849;7.2;73.0;2002.0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
79;International man of mystery ;7.6;Austin Powers: International Man of Mystery ;Adventure,Comedy;201947;7.0;51.0;1997.0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;Dil chahta hai ;7.6;Dil Chahta Hai ;Comedy,Drama,Romance;59142;8.2;;2001.0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
81;Treasure planet;7.6;Treasure Planet ;Animation,Adventure,Family;86787;7.1;60.0;2002.0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
82;Mr. Right ;7.5;Mr. Right ;Action,Comedy,Romance;38855;6.3;52.0;2015.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
83;Chak de! India ;7.4;Chak De! India ;Drama,Family,Sport;64000;8.2;68.0;2007.0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
84;A million ways to die in the west ;7.4;A Million Ways to Die in the West ;Action,Comedy,Western;156544;6.1;44.0;2014.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
85;In Brugge ;7.4;In Bruges ;Comedy,Crime,Drama,Thriller;352700;7.9;67.0;2008.0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
86;Kingsman: the golden circle ;7.4;Kingsman: The Golden Circle ;Action,Adventure,Comedy;210234;6.8;44.0;2017.0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;Run fatboy run;7.4;Run Fatboy Run ;Comedy,Romance,Sport;62743;6.6;48.0;2007.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
88;Dunston checks in ;7.3;Dunston Checks In ;Comedy,Adventure,Family;10821;5.3;54.0;1996.0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
89;Kingsmen ;7.3;Kingsman: The Secret Service ;Action,Adventure,Comedy,Thriller;524790;7.7;60.0;2014.0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
90;Spy ;7.3;Spy ;Action,Comedy,Crime;208407;7.0;75.0;2015.0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;Suicide squad ;7.3;Suicide Squad ;Action,Adventure,Fantasy;503358;6.1;40.0;2016.0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
92;Fantastic beasts and where to find them ;7.3;Fantastic Beasts and Where to Find Them ;Adventure,Family,Fantasy;332631;7.3;66.0;2016.0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
93;Captain America: Civil War ;7.2;Captain America: Civil War ;Action,Adventure;532973;7.8;75.0;2016.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;X-men: apocalypse ;7.2;X-Men: Apocalypse ;Action,Adventure;335418;7.0;52.0;2016.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;The book of eli ;7.2;The Book of Eli ;Action,Adventure,Drama,Thriller;262656;6.9;53.0;2010.0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
96;The night before ;7.2;The Night Before ;Adventure,Comedy,Fantasy;55153;6.4;58.0;2015.0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
97;Brothers ;7.1;Brothers ;Drama,War;100531;7.1;58.0;2009.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
98;9 to 5 ;7.1;9 to 5 ;Comedy,contentRating,PG,actor,Person,url,name,Person,url,name,Person,url,name,Person,url,name;23792;6.8;58.0;1980.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
99;Ditto;7.1;Donggam ;Drama,Romance;1682;7.2;;2000.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
100;Ted 2 ;7.0;Ted 2 ;Comedy,contentRating,R,actor,Person,url,name,Person,url,name,Person,url,name,Person,url,name;158452;6.3;48.0;2015.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
101;Mockingjay part 2 ;7.0;The Hunger Games: Mockingjay - Part 2 ;Action,Adventure,Thriller;239083;6.6;65.0;2015.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
102;Sinbad;7.0;Sinbad: Legend of the Seven Seas ;Animation,Adventure,Comedy,Drama,Family,Fantasy,Romance;43099;6.7;48.0;2003.0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0
103;8 apellidos catalanes ;7.0;Ocho apellidos catalanes ;Comedy,Romance;5268;5.3;;2015.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
104;Black mass ;6.8;Black Mass ;Biography,Crime,Drama;151746;6.9;68.0;2015.0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;Bright ;6.8;Bright ;Action,Crime,Fantasy,Thriller;138466;6.4;29.0;2017.0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
106;बदलाpur ;6.7;Badlapur ;Action,Crime,Drama,Thriller;18251;7.5;;2015.0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
107;Ant-man ;6.6;Ant-Man ;Action,Adventure,Comedy,Crime;458906;7.3;64.0;2015.0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;Star Wars: The Phantom Menace ;6.6;Star Wars: Episode I - The Phantom Menace ;Action,Adventure,Fantasy;633214;6.5;51.0;1999.0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
109;Kahaani ;6.5;Kahaani ;Mystery,Thriller;49981;8.2;;2012.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
110;Queen ;6.4;Bohemian Rhapsody ;Biography,Drama,Music;124616;8.4;49.0;2018.0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
111;Fast and furious 7 ;6.4;"Fast &amp; Furious 7 ";Action,Crime,Thriller;326954;7.2;67.0;2015.0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
112;Jab we met ;6.3;Jab We Met ;Comedy,Drama,Romance;40540;7.9;;2007.0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
113;Masaan ;6.2;Masaan ;Drama,actor,Person,url,name,Person,url,name,Person,url,name,Person,url,name;17001;8.1;;2015.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;Paper towns ;6.2;Paper Towns ;Comedy,Drama,Mystery,Romance;84641;6.3;56.0;2015.0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
115;Justice league ;6.2;Justice League ;Action,Adventure,Fantasy;295096;6.5;45.0;2017.0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
116;Pitch perfect 2 ;6.0;Pitch Perfect 2 ;Comedy,Music;125588;6.4;63.0;2015.0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
117;Lara croft: tomb raider ;5.9;Lara Croft: Tomb Raider ;Action,Adventure,Fantasy,Thriller;181181;5.8;33.0;2001.0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
118;Jupiter ascending ;5.8;Jupiter Ascending ;Action,Adventure;162437;5.3;40.0;2015.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;Terminator genesis ;5.4;Terminator Genisys ;Action,Adventure;227144;6.4;38.0;2015.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;The age of adeline ;5.0;The Age of Adaline ;Drama,Fantasy,Romance;132492;7.2;51.0;2015.0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
121;Insurgent ;4.1;Insurgent ;Action,Adventure,Thriller;192694;6.2;42.0;2015.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
122;Lucy ;3.9;Lucy ;Action,Thriller;389512;6.4;61.0;2014.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
123;Man of tai chi ;3.7;Man of Tai Chi ;Action,Drama;32028;6.1;52.0;2013.0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;Bahubali ;3.5;Bahubali: The Beginning ;Action,Drama,Fantasy;89650;8.2;;2015.0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
125;The post;7.2;The Post ;Biography,Drama,History,Thriller;94432;7.2;83.0;2017.0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
126;Get out ;7.4;Get Out ;Horror,Mystery,Thriller;345713;7.7;84.0;2017.0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0
127;Tomb raider (2018);7.2;Tomb Raider ;Action,Adventure,Fantasy,Thriller;138856;6.4;48.0;2018.0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
128;The handmaiden;7.6;Ah-ga-ssi ;Drama,Romance,Thriller;69665;8.1;84.0;2016.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
129;A quiet place ;8.4;A Quiet Place ;Drama,Horror,Mystery,Thriller;232898;7.6;82.0;2018.0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0
130;Invinity War: part 1;8.0;Avengers: Infinity War ;Action,Adventure,Fantasy;528328;8.5;68.0;2018.0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
131;Deadpool 2;8.6;Deadpool 2 ;Action,Adventure,Comedy;305084;7.8;66.0;2018.0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;Jurassic world: fallen kingdom;7.0;Jurassic World: Fallen Kingdom ;Action,Adventure;175867;6.2;51.0;2018.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;The incredibles 2 ;7.6;Incredibles 2 ;Animation,Action,Adventure,Comedy,Family;140300;7.9;80.0;2018.0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
134;Game night;7.0;Game Night ;Action,Comedy,Crime,Mystery;129894;7.0;66.0;2018.0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
135;Red sparrow;7.3;Red Sparrow ;Action,Drama,Thriller;113748;6.6;53.0;2018.0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
136;Tag;6.8;Tag ;Comedy,contentRating,R,actor,Person,url,name,Person,url,name,Person,url,name,Person,url,name;58599;6.6;56.0;2018.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
137;Mission impossible: Fallout;7.8;Mission: Impossible - Fallout ;Action,Adventure,Thriller;170523;7.9;86.0;2018.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
138;Oceans 8;6.9;Ocean's Eight ;Action,Comedy,Crime,Thriller;105972;6.2;61.0;2018.0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
139;The darkest minds;7.0;The Darkest Minds ;Thriller;14347;5.6;39.0;2018.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
140;The equalizer 2;7.7;The Equalizer 2 ;Action,Crime,Thriller;56304;6.8;50.0;2018.0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
141;Johnny English: Strikes Again;7.3;Johnny English Strikes Again ;Action,Adventure,Comedy;15531;6.5;39.0;2018.0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142;The mechanic;7.8;The Mechanic ;Action,Crime,Thriller;138099;6.6;49.0;2011.0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
143;Venom;7.4;Venom ;Action;128570;7.0;35.0;2018.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
144;The Crimes of Grindelwald;7.9;Fantastic Beasts: The Crimes of Grindelwald ;Adventure,Family,Fantasy;61862;7.0;53.0;2018.0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
